No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
985,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3870.97,,39.16,0.69%,1010575
986,STAG,"STAG Industrial, Inc.",Financial,REIT - Industrial,USA,3854.77,51.39,30.73,0.59%,559199
987,VVV,Valvoline Inc.,Basic Materials,Oil & Gas Refining & Marketing,USA,3852.41,16.95,20.46,1.79%,587784
988,AMED,"Amedisys, Inc.",Healthcare,Home Health Care,USA,3842.04,32.26,120.06,0.41%,148236
989,TECD,Tech Data Corporation,Services,Computers Wholesale,USA,3841,12.51,103.78,1.91%,127940
990,EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,3840.99,,15.06,-0.13%,2179369
991,AN,"AutoNation, Inc.",Services,Auto Dealerships,USA,3805.76,9.92,42.57,1.04%,170236
992,GHC,Graham Holdings Company,Services,Education & Training Services,USA,3791.57,12.46,720.83,1.28%,18775
993,MTZ,"MasTec, Inc.",Industrial Goods,Heavy Construction,USA,3786.2,15.56,52.13,0.42%,601973
994,PRSP,Perspecta Inc.,Technology,Information Technology Services,USA,3781.61,54.4,23.61,3.10%,441433
995,FGEN,"FibroGen, Inc.",Healthcare,Biotechnology,USA,3770.64,,44.35,-0.07%,613448
996,TKR,The Timken Company,Industrial Goods,Machine Tools & Accessories,USA,3764.7,12.45,50.31,0.22%,427617
997,FNB,F.N.B. Corporation,Financial,Regional - Southeast Banks,USA,3762.59,10.09,11.59,0.35%,2126423
998,LHCG,"LHC Group, Inc.",Healthcare,Home Health Care,USA,3754.29,48.52,120.95,0.44%,105101
999,FTDR,"frontdoor, inc.",Services,Business Services,USA,3737.63,30.16,44.18,-1.05%,193225
1000,NCR,NCR Corporation,Technology,Information Technology Services,USA,3735.03,,31.3,0.71%,2513943
1001,MRCY,"Mercury Systems, Inc.",Technology,Computer Peripherals,USA,3729.34,75.99,70.14,0.21%,172119
1002,OUT,Outfront Media Inc.,Services,Marketing Services,USA,3727.14,35.56,26.49,1.81%,970300
1003,UBSI,"United Bankshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,3726.83,14.76,36.79,0.35%,262132
1004,ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3725.18,90.83,34.88,0.78%,193672
1005,UMPQ,Umpqua Holdings Corporation,Financial,Regional - Pacific Banks,USA,3724.19,11.98,16.9,1.26%,804038
1006,PEB,Pebblebrook Hotel Trust,Financial,REIT - Hotel/Motel,USA,3693.95,,28.45,0.99%,335014
1007,LOGM,"LogMeIn, Inc.",Technology,Application Software,USA,3692.64,120.42,74.78,1.52%,573964
1008,NWE,NorthWestern Corporation,Utilities,Diversified Utilities,USA,3687.11,19.66,73.39,0.91%,123987
1009,BPRAP,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,3686.95,0.6,25,-0.12%,3996
1010,ERI,"Eldorado Resorts, Inc.",Services,Resorts & Casinos,USA,3686.3,34.11,49.02,1.30%,1038626
1011,QTWO,"Q2 Holdings, Inc.",Technology,Business Software & Services,USA,3665.52,,78.39,1.63%,240671
1012,CC,The Chemours Company,Basic Materials,Specialty Chemicals,USA,3662.47,4.96,21.53,1.70%,2277003
1013,OZK,Bank OZK,Financial,Regional - Southeast Banks,USA,3661.09,9.09,29.27,0.21%,390655
1014,NEA,Nuveen AMT-Free Quality Municipal Income Fund,Financial,Diversified Investments,USA,3649.96,,13.89,0.29%,234500
1015,PSN,Parsons Corporation,Industrial Goods,Diversified Machinery,USA,3638.17,,36.44,0.80%,130302
1016,PD,"PagerDuty, Inc.",Technology,Application Software,USA,3634.01,,47.03,1.66%,321600
1017,UNVR,Univar Inc.,Basic Materials,Chemicals - Major Diversified,USA,3622.75,58.21,21.77,0.28%,357702
1018,VRNT,Verint Systems Inc.,Technology,Business Software & Services,USA,3615.5,52.82,55.41,1.32%,299686
1019,ENV,"Envestnet, Inc.",Services,Business Services,USA,3612.66,,70.34,1.24%,107219
1020,BJ,"BJ's Wholesale Club Holdings, Inc.",Services,"Specialty Retail, Other",USA,3606.49,24.68,25.84,0.19%,909682
1021,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,3601.17,27.6,20.31,1.40%,582379
1022,TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Medical Instruments & Supplies,USA,3583.64,,63.36,-0.20%,362980
1023,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrial Goods,Aerospace/Defense - Major Diversified,USA,3569.73,22.74,46.3,0.28%,351208
1024,UNF,UniFirst Corporation,Consumer Goods,Textile - Apparel Clothing,USA,3566.63,21.88,190.22,0.91%,61225
1025,OMCL,"Omnicell, Inc.",Technology,Healthcare Information Services,USA,3561.75,92.51,86.22,-0.35%,160527
1026,UTHR,United Therapeutics Corporation,Healthcare,Biotechnology,USA,3540.15,,81.91,-1.02%,824545
1027,WRI,Weingarten Realty Investors,Financial,REIT - Retail,USA,3527.38,15.37,27.59,0.73%,494301
1028,KBR,"KBR, Inc.",Services,Technical Services,USA,3523.59,19.25,24.99,0.16%,370862
1029,TWO,Two Harbors Investment Corp.,Financial,REIT - Residential,USA,3519.68,,12.7,0.71%,2236840
1030,CIM,Chimera Investment Corporation,Financial,REIT - Diversified,USA,3518.26,14.83,18.89,0.91%,996730
1031,RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,Biotechnology,USA,3516.24,,62.6,-0.11%,192393
1032,APLE,"Apple Hospitality REIT, Inc.",Financial,REIT - Hotel/Motel,USA,3512.51,17.9,15.82,0.64%,674089
1033,LAUR,"Laureate Education, Inc.",Services,Education & Training Services,USA,3502.72,22.01,16,1.01%,691893
1034,MIC,Macquarie Infrastructure Corporation,Services,"Air Services, Other",USA,3501.86,61.23,40.78,0.84%,147049
1035,DNP,DNP Select Income Fund Inc.,Financial,Closed-End Fund - Equity,USA,3501.83,,11.89,0.08%,191941
1036,OLN,Olin Corporation,Basic Materials,Specialty Chemicals,USA,3499.05,10.29,21.38,1.66%,951507
1037,NYMTO,"New York Mortgage Trust, Inc.",Financial,REIT - Residential,USA,3495.21,38.79,24.75,0.78%,611
1038,LPX,Louisiana-Pacific Corporation,Services,Building Materials Wholesale,USA,3491.15,11.58,26.65,0.79%,508137
1039,VLY,Valley National Bancorp,Financial,Regional - Northeast Banks,USA,3486.46,11.31,10.8,0.75%,1779631
1040,CLGX,"CoreLogic, Inc.",Technology,Processing Systems & Products,USA,3476.6,37.01,43.15,2.03%,238083
1041,MCY,Mercury General Corporation,Financial,Property & Casualty Insurance,USA,3473.03,20.49,63.96,1.15%,303952
1042,CSOD,"Cornerstone OnDemand, Inc.",Technology,Application Software,USA,3466.49,,59.48,2.27%,735986
1043,RBC,Regal Beloit Corporation,Industrial Goods,Diversified Machinery,USA,3465.22,15.13,81.92,0.91%,91135
1044,SAVE,"Spirit Airlines, Inc.",Services,Major Airlines,USA,3451.14,13.48,50.47,3.21%,558705
1045,NYMTP,"New York Mortgage Trust, Inc.",Financial,REIT - Residential,USA,3444.66,38.23,24.39,0.38%,201
1046,NYMTN,"New York Mortgage Trust, Inc.",Financial,REIT - Residential,USA,3444.23,38.23,24.39,-0.04%,7026
1047,GT,The Goodyear Tire & Rubber Company,Consumer Goods,Rubber & Plastics,USA,3443.3,6.36,14.87,-0.54%,1709965
1048,APPF,"AppFolio, Inc.",Technology,Application Software,USA,3441.05,188.97,103.18,0.33%,60032
1049,NHI,"National Health Investors, Inc.",Financial,REIT - Healthcare Facilities,USA,3435.39,22.39,79.93,1.29%,197145
1050,GBCI,"Glacier Bancorp, Inc.",Financial,Regional - Pacific Banks,USA,3433.58,17.85,40.61,0.99%,93586
1051,FHB,"First Hawaiian, Inc.",Financial,Regional - Pacific Banks,USA,3432.67,13,25.45,0.83%,337900
1052,TGNA,TEGNA Inc.,Services,Broadcasting - TV,USA,3432.67,8.19,15.84,3.19%,1670857
1053,ASB,Associated Banc-Corp,Financial,Regional - Midwest Banks,USA,3425.25,11.19,21.23,1.63%,596055
1054,SLGN,Silgan Holdings Inc.,Consumer Goods,Packaging & Containers,USA,3424.94,15.69,31.61,2.03%,691780
1055,NAVI,Navient Corporation,Financial,Credit Services,USA,3396.48,9.93,13.92,0.80%,993617
1056,WMGI,Wright Medical Group N.V.,Healthcare,Medical Appliances & Equipment,USA,3389.38,,26.94,-1.46%,3441712
1057,QLYS,"Qualys, Inc.",Technology,Application Software,USA,3381.46,59.94,87.99,0.31%,107112
1058,TCF,TCF Financial Corporation,Financial,Regional - Midwest Banks,USA,3379.94,11.85,20.97,1.01%,412806
1059,HWC,Hancock Whitney Corporation,Financial,Regional - Southeast Banks,USA,3374.39,10.39,39.38,0.82%,181581
1060,NIO,NIO Inc.,Consumer Goods,Auto Manufacturers - Major,USA,3359.4,,3.13,10.99%,75342424
1061,EAF,GrafTech International Ltd.,Industrial Goods,Diversified Machinery,USA,3350.15,4.1,11.53,0.44%,478517
1062,SWCH,"Switch, Inc.",Technology,Information Technology Services,USA,3345.07,172.78,13.65,2.48%,3282833
